epoch,stage,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1.0,0.0,1.3314543921634696,0.6383809692881236,0.577147901058197,1.1883152146525096,0.7597348798674399,0.6762883067131042
2.0,0.0,1.014419601375418,0.7562577667317593,0.7181916236877441,1.0961613098056038,0.792046396023198,0.7085058093070984
3.0,0.0,0.9344691431545649,0.7747203976566661,0.7417269945144653,1.2940492333710045,0.7837613918806959,0.7145106196403503
4.0,0.0,0.8794899647938048,0.784484289011184,0.7548404932022095,1.0435132648496461,0.8177299088649544,0.7522797584533691
5.0,1.0,0.7922251253299046,0.8120007101011895,0.7942578196525574,0.9957854672710859,0.8417564208782105,0.7947397828102112
6.0,1.0,0.7309446408908193,0.8466181430853896,0.8314107656478882,0.9464922517217085,0.8574979287489644,0.8326883912086487
7.0,1.0,0.6709493385122276,0.8652582993076513,0.8560429215431213,0.9228159285026241,0.8823529411764706,0.8573498129844666
8.0,1.0,0.6675337691851372,0.875554766554234,0.8634077906608582,0.9620536773187026,0.8773819386909694,0.8306331634521484
9.0,1.0,0.6342361560622096,0.8835434049352032,0.873674750328064,0.9472279222720699,0.9022369511184756,0.8752312064170837
10.0,1.0,0.6126889832041392,0.8929522456950115,0.8872350454330444,0.9178531486926833,0.9055509527754764,0.8923554420471191
11.0,1.0,0.6045482730476085,0.9028936623468844,0.8990702033042908,0.8878721878759704,0.908036454018227,0.8911536931991577
12.0,1.0,0.5811888706021722,0.909107047754305,0.9056151509284973,0.8854819406827027,0.9096934548467275,0.8912395238876343
13.0,1.0,0.5762639252897819,0.9107047754304989,0.9081573486328125,0.8923380893424413,0.9047224523612262,0.8763285279273987
14.0,1.0,0.5750880483071672,0.9165631102432097,0.9151919484138489,1.0421327726842948,0.9096934548467275,0.8877264857292175
15.0,1.0,0.5499747759195832,0.9234865968400497,0.921637237071991,0.8724875765194454,0.9179784589892295,0.8918604850769043
