epoch,stage,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr_head,lr_backbone
1.0,0.0,1.431839041402618,0.6083791940351501,0.540981650352478,1.2446564691760071,0.743993371996686,0.6414662599563599,0.0002,0.0
2.0,0.0,1.0869583765270654,0.738505236996272,0.6936947703361511,1.1299687383978843,0.7821043910521955,0.688555896282196,0.0002,0.0
3.0,0.0,0.9886012606398157,0.7582105450026628,0.7203811407089233,1.3137226443500092,0.7738193869096934,0.7003857493400574,0.0002,0.0
4.0,0.0,0.9226165150487146,0.7676193857624711,0.733717143535614,1.0655565103816906,0.8061309030654515,0.7360758781433105,0.0002,0.0
5.0,1.0,0.8116316218878138,0.8038345464228652,0.7853379845619202,1.0007857618592648,0.8367854183927091,0.7953707575798035,0.00019848077530122083,4.962019382530521e-05
6.0,1.0,0.7380949173518783,0.843422687733002,0.8271358609199524,0.9435781306635771,0.8550124275062138,0.8285048604011536,0.00019396926207859087,4.849231551964772e-05
7.0,1.0,0.6755701679965859,0.8625954198473282,0.853347659111023,0.9248023997087961,0.8740679370339686,0.8490403294563293,0.0001866025403784439,4.665063509461098e-05
8.0,1.0,0.670885631887015,0.874134564175395,0.8627389073371887,0.9623298001072085,0.8748964374482188,0.8277032971382141,0.0001766044443118978,4.415111107797445e-05
9.0,1.0,0.6375834514801443,0.8847860820166874,0.8744348287582397,0.9509608139158184,0.8956089478044739,0.8669492602348328,0.00016427876096865394,4.1069690242163484e-05
10.0,1.0,0.6153467661446034,0.8940173974791408,0.8884730339050293,0.918342700059886,0.899751449875725,0.883965790271759,0.00015000000000000001,3.7500000000000003e-05
11.0,1.0,0.6063284227231373,0.9011184093733356,0.8968033194541931,0.8839055560498368,0.9113504556752279,0.8894206881523132,0.0001342020143325669,3.355050358314173e-05
12.0,1.0,0.5836122649909123,0.9069767441860465,0.9029103517532349,0.8867381958301737,0.9072079536039768,0.888270914554596,0.00011736481776669306,2.9341204441673266e-05
13.0,1.0,0.5773565841360243,0.9096396236463696,0.9066938757896423,0.8907594751896893,0.9055509527754764,0.8742967247962952,0.0001,2.5e-05
14.0,1.0,0.574960956073201,0.9163855849458548,0.9148521423339844,1.0439439115192441,0.9072079536039768,0.8805869817733765,8.263518223330697e-05,2.0658795558326743e-05
15.0,1.0,0.5491722477449525,0.9240191727321143,0.92194664478302,0.8739854458846035,0.9179784589892295,0.8901772499084473,6.579798566743316e-05,1.644949641685829e-05
16.0,1.0,0.538915943087851,0.9261494763003728,0.925783097743988,0.9007276641305262,0.8989229494614748,0.8810434341430664,5.000000000000003e-05,1.2500000000000007e-05
17.0,1.0,0.5460025925799668,0.9204686667850168,0.9177164435386658,0.8909151558058264,0.9063794531897266,0.8963105082511902,3.5721239031346066e-05,8.930309757836517e-06
18.0,1.0,0.5550855956449192,0.9250843245162436,0.9239160418510437,0.8742864708714774,0.9130074565037283,0.8858049511909485,2.3395555688102214e-05,5.8488889220255536e-06
19.0,1.0,0.5530046965922256,0.9190484644061779,0.9169259667396545,0.8625784927690533,0.9229494614747308,0.9052971601486206,1.3397459621556154e-05,3.3493649053890386e-06
20.0,1.0,0.5462121068743518,0.9247292739215338,0.9220099449157715,0.8807526113775612,0.9055509527754764,0.8821096420288086,6.03073792140917e-06,1.5076844803522924e-06
21.0,1.0,0.5531022229330929,0.9234865968400497,0.9224839806556702,0.8946399398351762,0.9055509527754764,0.8803720474243164,1.5192246987791983e-06,3.798061746947996e-07
22.0,1.0,0.5461416342489973,0.9249067992188887,0.9225506782531738,0.8708401951991337,0.9196354598177299,0.9017255902290344,0.0,0.0
