epoch,stage,train_loss,val_loss,lr_backbone,lr_head
1.0,0.0,1.431839041402618,1.2446564691760071,0.0,0.0002
2.0,0.0,1.0869583765270654,1.1299687383978843,0.0,0.0002
3.0,0.0,0.9886012606398157,1.3137226443500092,0.0,0.0002
4.0,0.0,0.9226165150487146,1.0655565103816906,0.0,0.0002
5.0,1.0,0.8116316218878138,1.0007857618592648,4.962019382530521e-05,0.00019848077530122083
6.0,1.0,0.7380949173518783,0.9435781306635771,4.849231551964772e-05,0.00019396926207859087
7.0,1.0,0.6755701679965859,0.9248023997087961,4.665063509461098e-05,0.0001866025403784439
8.0,1.0,0.670885631887015,0.9623298001072085,4.415111107797445e-05,0.0001766044443118978
9.0,1.0,0.6375834514801443,0.9509608139158184,4.1069690242163484e-05,0.00016427876096865394
10.0,1.0,0.6153467661446034,0.918342700059886,3.7500000000000003e-05,0.00015000000000000001
11.0,1.0,0.6063284227231373,0.8839055560498368,3.355050358314173e-05,0.0001342020143325669
12.0,1.0,0.5836122649909123,0.8867381958301737,2.9341204441673266e-05,0.00011736481776669306
13.0,1.0,0.5773565841360243,0.8907594751896893,2.5e-05,0.0001
14.0,1.0,0.574960956073201,1.0439439115192441,2.0658795558326743e-05,8.263518223330697e-05
15.0,1.0,0.5491722477449525,0.8739854458846035,1.644949641685829e-05,6.579798566743316e-05
16.0,1.0,0.538915943087851,0.9007276641305262,1.2500000000000007e-05,5.000000000000003e-05
17.0,1.0,0.5460025925799668,0.8909151558058264,8.930309757836517e-06,3.5721239031346066e-05
18.0,1.0,0.5550855956449192,0.8742864708714774,5.8488889220255536e-06,2.3395555688102214e-05
19.0,1.0,0.5530046965922256,0.8625784927690533,3.3493649053890386e-06,1.3397459621556154e-05
20.0,1.0,0.5462121068743518,0.8807526113775612,1.5076844803522924e-06,6.03073792140917e-06
21.0,1.0,0.5531022229330929,0.8946399398351762,3.798061746947996e-07,1.5192246987791983e-06
22.0,1.0,0.5461416342489973,0.8708401951991337,0.0,0.0
